id,name,description,abv,ibu,image,BreweryId,StyleId
1,3-way IPA,"Great things come in threes. Grain, Hops and Yeast. Fort George, Gigantic and Lompoc. Beer, beer and beer. Organic two-row (we couldn't get 3-row) malted barley created a solid, crisp profile and a clean, straw-colored hue. A fine balance of aromatic hops treats your senses to a symphony of fragrances and flavors. Add a hardworking California Common yeast and some of Astoria's slow sand-filtered water, and the 3-Way IPA becomes the perfect summertime beverage.",6.69,NULL,http://res.cloudinary.com/crowandrew/image/upload/v1603490208/TestProject/fmj4koqsouier1h0phyq.png,1,1
2,9lb Porter,"Brewed for our friends at the 9 Pound Hammer here in Georgetown, this is an exceptionally flavorful medium bodied porter. We use tons of Chocolate, Munich, and Roasted Malt, then blend it with Centennial and Northern Brewer hops to create what we'd like to call Roasted Chocolaty Goodness. Mmm.. porter. Buy it by the pint at the Nine Pound Hammer or come on in to our retail shop for growlers to go!",6.2,40,http://res.cloudinary.com/crowandrew/image/upload/v1603490299/TestProject/aeaqnbykwprnn6msoykv.png,1,2
3,Barrel Aged Chopper's Red Ale,"A hoppy Northwest-style red, with lots of late addition Centennial hops to make it floral and fruity, gets the barrel aged treatment making it a little drier, with a more subdued hop profile. Spending 6 months in first use bourbon barrels gives the beer a generous amount of bourbon flavor and aroma along with vanilla and oak notes.",9.4,NULL,http://res.cloudinary.com/crowandrew/image/upload/v1603490382/TestProject/p24qzcq1sy0ph9p5phj0.png,1,3
4,Bob's Beer,"Arguably one of our most important and popular brews, Bob's Brown Ale is brewed once a year and released every May 14th (Bob's birthday). 100% of the proceeds from Bob's are donated in honor of Charles 'Bob' Hirsch to the Ronald McDonald House Charities of Western Washington and Alaska to provide a 'home away from home' for Children's Hospital patients and families. A big, chocolaty, hoppy brown brew, the only thing nutty about it are the brewers that make it.",6.2,NULL,http://res.cloudinary.com/crowandrew/image/upload/v1603490452/TestProject/jehjylafsk0zgrbooqf7.png,1,4
5,Bodhizafa IPA,This IPA gets its light silky texture from rolled oats. The flavor and aroma both express mandarin and citrus all around. Over five pounds of hops per barrel makes this IPA truly Bodhilicious. Gold medal winner in the American Style IPA category at the Great American Beer Festival in 2016!,6.9,80,http://res.cloudinary.com/crowandrew/image/upload/v1603490553/TestProject/qrzbxvmc97nyxjdbq2z3.png,1,1
6,Chopper's Red Ale,A hoppy Northwest style red ale. Lots of late addition Cascade hops give this malty red ale a floral and spicy aroma. Finishes with a subtle malty sweetness.,6,58,http://res.cloudinary.com/crowandrew/image/upload/v1603490608/TestProject/llcp0sqwm1js2jvqgqcd.png,1,3
7,Gusto Crema Coffee Ale,"Building on Gusto Crema blend, a medium roasted bean from our friends at Caffa Umbria, we made a smooth, rich cream ale. This beer has roasted flavor, aroma, and color from cold brew coffee. Smooth, rich mouthfeel comes from oats and Munich malt. Gold medal winner in the Coffee Beer category at the Great American Beer Festival in 2016!",4.5,NULL,http://res.cloudinary.com/crowandrew/image/upload/v1603490667/TestProject/ihvvrpcurahxg8sirn0u.png,1,5
8,Johnny Utah,"With heavy grapefruit, citrus and resin in the nose, this light colored ale has minimal malt interference, giving the beer a clean finish without a cloying bitterness. Pronounced grapefruit and pine flavors with a faint verdant note.",5.6,NULL,http://res.cloudinary.com/crowandrew/image/upload/v1603490750/TestProject/xtkkqu9xohxtf4crdf7l.png,1,6
9,Lisa's,Lisa's The Sun Is Trying To Kill Me Chocolate Stout: Starting off with 15 pounds of Theo Chocolate!,8.3,30,http://res.cloudinary.com/crowandrew/image/upload/v1603490816/TestProject/gcq3edmti8mromjo1bku.png,1,7
10,Lucille India Pale Ale,"Floral, citrusy and awesome. Anything so innocent and built like that just gotta be named Lucille.",6.8,85,http://res.cloudinary.com/crowandrew/image/upload/v1603490876/TestProject/dw09worfafygipxn41in.png,1,1
